名称,城市,类型,级别,热度,地址
天山天池,新疆·昌吉·阜康市,自然风光,5A景区,热度 1.0,新疆维吾尔自治区昌吉回族自治州阜康市
西岭雪山,四川·成都·大邑县,自然风光,4A景区,热度 0.74,四川省成都市大邑县内
分界洲岛旅游区,海南·陵水,自然风光,5A景区,热度 1.0,海南省三亚市东北部分界洲岛
武夷山,福建·南平·武夷山市,自然风光,5A景区,热度 1.0,福建省南平市武夷山国家旅游度假区
地下大峡谷,山东·临沂·沂水县,自然风光,4A景区,热度 1.0,山东省临沂市沂水县姚店子镇永富庄
天桥沟国家森林公园,辽宁·丹东·宽甸县,自然风光,4A景区,热度 0.74,辽宁省丹东市宽甸县双山子镇黎明山庄
西部大峡谷温泉,云南·昭通·水富县,自然风光,4A景区,热度 0.0,云南省昭通市水富县金沙江畔
太姥山,福建·宁德·福鼎市,自然风光,5A景区,热度 1.0,福建省宁德福鼎市太姥山
垂云通天河,浙江·杭州·桐庐县,自然风光,4A景区,热度 0.7,浙江省杭州市桐庐县瑶琳镇东琳村杨家
中南百草原,浙江·湖州·安吉县,自然风光,4A景区,热度 0.74,浙江省湖州市安吉县递铺镇马鞍山村
神仙居,浙江·台州·仙居,自然风光,5A景区,热度 0.76,浙江省台州市仙居县白塔镇
焦山,江苏·镇江·京口区,自然风光,5A景区,热度 0.9400000000000001,江苏省镇江市东吴路焦山公园
溱湖国家湿地公园,江苏·泰州·姜堰市,自然风光,5A景区,热度 1.0,江苏省泰州市姜堰市溱潼镇
黄腾峡天门悬廊,广东·清远·清城区,自然风光,,热度 0.0,广东省清远市清城区东城街石板村
玉龙沙湖,内蒙古·赤峰·翁牛特旗,自然风光,4A景区,热度 0.76,内蒙古赤峰市翁牛特旗乌丹镇布日敦嘎查境内
大金湖,福建·三明·泰宁县,自然风光,5A景区,热度 1.0,福建省三明泰宁县大金湖世界地质公园内
金海湖风景区,北京·北京·平谷区,自然风光,4A景区,热度 0.7,北京市平谷区东南盘山脚下海子村
禾木风景区,新疆·阿勒泰·阿勒泰市,自然风光,,热度 0.0,新疆维吾尔自治区阿勒泰地区布尔津县
龙口南山旅游区,山东·烟台·龙口市,自然风光,5A景区,热度 0.72,山东省烟台龙口市东江镇南山旅游景区
桓仁枫林谷,辽宁·本溪·桓仁县,自然风光,,热度 0.0,辽宁省本溪市桓仁本溪市桓仁县向阳乡
武隆天生三桥风景区,重庆·重庆·武隆天坑地缝国家地质公园,自然风光,5A景区,热度 0.72,重庆市武隆县龙桥街巷口镇芙蓉路88号
九皇山,四川·绵阳·北川新县城,自然风光,4A景区,热度 0.76,四川省绵阳市北川羌族自治县桂溪乡金宝石村九皇山景区
老君洞,广西·柳州·融水县,自然风光,,热度 0.0,广西柳州市融水县204省道老君洞
韶关云门山,广东·韶关·乳源县,自然风光,4A景区,热度 0.0,广东省韶关市乳源县乳城镇
沂蒙山银座天蒙旅游区,山东·临沂·费县,自然风光,,热度 0.0,山东省临沂市费县北部（距费县县城约25公里）
肇庆七星岩,广东·肇庆·星湖旅游景区,自然风光,4A景区,热度 0.0,广东省肇庆市端州区迎宾大道七星岩旅游度假区内
九曲黄河第一弯,四川·阿坝藏族羌族自治州·唐克乡,自然风光,,热度 0.0,四川省阿坝州诺尔盖县唐克乡
织金洞,贵州·毕节·织金县,自然风光,4A景区,热度 1.0,贵州省毕节市织金县官寨乡织金洞景区
林屋洞,江苏·苏州·太湖西山岛,自然风光,,热度 0.7,江苏省苏州市吴中区西山镇下村
黄山风景区,安徽·黄山·黄山区,自然风光,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区
恒山,山西·大同·浑源县,自然风光,4A景区,热度 0.76,山西省大同市浑源县恒山南路
瑶琳仙境,浙江·杭州·桐庐县,自然风光,4A景区,热度 0.7,浙江省杭州市桐庐县瑶琳镇桃源村瑶淋路
都峤山生态旅游景区,广西·玉林·容县,自然风光,,热度 0.0,广西省玉林市容县石寨镇
灵山小镇拈花湾,江苏·无锡·滨湖区,农家度假,5A景区,热度 0.0,江苏省无锡市滨湖区马山环山西路
长鹿旅游休博园,广东·佛山·顺德区,农家度假,5A景区,热度 0.72,广东省佛山市顺德区伦教三洲建设东路8号
隐贤山庄,广东·东莞·东莞市,农家度假,4A景区,热度 0.7,广东省东莞市常平镇隐贤山庄大道8号
峰林小镇,广东·清远·峰林胜境,农家度假,,热度 0.0,英德市九龙镇九沙路九龙小镇国际生态农业度假区
盈香生态园,广东·佛山·高明区,农家度假,,热度 0.0,广东省佛山市高明区荷城街道办冼村
东莞龙凤山庄影视渡假村,广东·东莞·东莞市,农家度假,4A景区,热度 0.0,广东省东莞市凤岗镇官井头大龙管理区龙凤山庄路
青青世界,广东·深圳·南山区,农家度假,4A景区,热度 0.72,广东省深圳市南山区月亮湾青青街1号
乐和乐都野生动物世界,重庆·重庆·乐和乐都主题公园,农家度假,4A景区,热度 0.0,重庆永川区近郊卫星湖街道凤龙路999号野生动物园
槟榔谷黎苗文化区,海南·保亭,农家度假,5A景区,热度 0.72,海南省三亚市保亭黎苗族自治县甘什岭自然保护区
深圳光明农场农科大观园,广东·深圳·宝安区,农家度假,,热度 0.72,广东省深圳市宝安区深圳宝安光明街道
压油沟风景区,山东·临沂,农家度假,,热度 0.0,山东省临沂市兰陵县压油沟村
天府花溪谷山地户外运动体验公园,四川·成都·大邑县,农家度假,,热度 0.0,四川省成都市大邑县金星乡和平村10组
云岚牧场,浙江·温州·泰顺县,农家度假,,热度 0.0,温州市泰顺县柳峰乡墩头村高场坪
美的鹭湖爱丽丝庄园,广东·佛山·高明区,农家度假,,热度 0.0,广东省佛山市高明区杨和镇高明大道218号
双桥沟,四川·阿坝藏族羌族自治州·四姑娘山,农家度假,,热度 0.7,四川省阿坝藏族羌族自治州小金县日隆镇四姑娘山自然风景区
羊毛沟花海湿地,山东·青岛·城阳区,农家度假,,热度 0.0,山东省青岛市城阳棘洪滩下崖社区东侧、春阳路北、正源路和科兴路交界处
大梨树生态旅游区,辽宁·丹东·凤城市,农家度假,4A景区,热度 0.0,辽宁省凤城市大梨树生态农业观光旅游区
特呈渔岛度假村,广东·湛江·霞山区,农家度假,,热度 0.0,湛江霞山区东堤路15号
长山薰衣草庄园,江苏·镇江·丹徒区,农家度假,,热度 0.0,江苏省镇江市丹徒新区长香路转海燕西路
漫花庄园,四川·成都·新都区,农家度假,,热度 0.0,四川省成都市新都区
烟台牟氏庄园,山东·烟台·栖霞市,农家度假,4A景区,热度 0.76,山东省烟台市栖霞市霞光路庄园南街6号
南沙水鸟世界生态园,广东·广州·南沙区,农家度假,,热度 0.0,广东广州南沙区万顷沙镇十七与十八涌之间
临沂龙园旅游区,山东·临沂·河东区,农家度假,,热度 0.0,山东省临沂市河东区汤头街道办事处临沂龙园旅游区
海上田园,广东·深圳·宝安区,农家度假,4A景区,热度 0.74,广东省深圳市宝安区沙井镇
仙凤三宝,江西·萍乡·芦溪县,农家度假,4A景区,热度 0.0,江西萍乡市芦溪县宣风镇竹垣村
那琴半岛地质海洋公园,广东·江门·台山市,农家度假,,热度 0.0,广东省台山市北陡镇那琴半岛海景1街1号
清境桃源生态旅游度假区,福建·泉州·南安市,农家度假,,热度 0.0,福建省泉州市丰州镇环山村水吼村
稻梦空间,辽宁·沈阳·沈北新区,农家度假,,热度 0.0,辽宁省沈阳市沈北新区兴隆台锡伯族镇兴光村
蓬莱黄金河度假村,山东·烟台·蓬莱市,农家度假,,热度 0.0,山东省烟台市蓬莱市大柳行镇
参仙谷生态旅游度假区,辽宁·抚顺·新宾县,农家度假,,热度 0.0,辽宁省抚顺市新宾满族自治县林场
武威温泉度假村,甘肃·武威·凉州区,农家度假,,热度 0.0,甘肃省武威市凉州区西营镇五沟村
新会古兜温泉旅游度假村,广东·江门·新会区,农家度假,4A景区,热度 0.78,广东省江门市新会区崖南古兜温泉度假村
常家庄园,山西·晋中·榆次区,农家度假,4A景区,热度 0.76,山西省晋中市榆次区东阳镇车辋村
迪茵湖休闲生态旅游度假区,广东·中山,农家度假,,热度 0.0,广东省中山市三角镇金三大道东8号之二
白马涧,江苏·苏州·高新区,农家度假,4A景区,热度 0.0,江苏省苏州市高新区枫桥街道华山路
水锦顺庄旅游景区,广西·南宁·马山县,农家度假,,热度 0.0,广西省南宁市马山县古零镇乐平村水锦屯距马山县城约28公里
山叶口景区,河北·唐山·迁安市,农家度假,4A景区,热度 0.0,河北省唐山迁安市西部大五里乡山叶口村
河源巴伐利亚庄园,广东·河源·源城区,农家度假,,热度 0.0,河源市源城区万洞旅游区巴伐利亚庄园
朱仙镇启封故园景区,河南·开封,农家度假,,热度 0.0,河南省开封市祥符区运粮河西岸朱仙镇启封故园
曲阳虎山风景区,河北·保定·曲阳县,农家度假,4A景区,热度 0.0,河北省保定市曲阳县范家庄乡虎山村
苏州江南农耕文化园,江苏·苏州·张家港市,农家度假,4A景区,热度 0.0,江苏省苏州市张家港市妙丰公路与永钢大道交汇处
巴布洛生态谷,江苏·南京·六合区,农家度假,,热度 0.0,江苏省南京市六合区竹镇镇永鸿巴布洛生态
刘氏庄园,四川·成都·安仁古镇,农家度假,4A景区,热度 0.7,四川省成都市大邑县安仁镇金桂街15号
张裕摩塞尔十五世酒庄,宁夏·银川·西夏区,农家度假,,热度 0.0,宁夏银川市西夏区经济技术开发区六盘山路359号。
云南红酒庄,云南·红河·弥勒县,农家度假,,热度 0.0,云南省红河州弥勒县东风农场云南红酒庄
凤翔首邑温泉度假村,福建·福州·闽侯县,农家度假,,热度 0.0,福建省福州市闽侯县荆溪东大道41号 凤翔首邑温泉度假村
佛山梦里水乡百花园,广东·佛山·南海区,农家度假,,热度 0.0,广东省佛山市南海区里水镇广和大桥南侧梦里水乡百花园
望天湖旅游度假区,广东·揭阳,农家度假,,热度 0.0,广东省揭阳市蓝城区白塔镇广和草山望天湖
甘坑客家小镇,广东·深圳·龙岗区,农家度假,,热度 0.0,广东深圳市龙岗区布吉街道甘坑客家小镇
西海温泉,江西·九江·永修县,农家度假,,热度 0.72,江西省九江市永修县易家河村
光合谷旅游度假区,天津·天津·静海县,农家度假,4A景区,热度 0.0,天津市静海县团泊镇新城东区光合谷旅游度假区
苏州太湖牛仔风情度假村,江苏·苏州·太湖西山岛,农家度假,,热度 0.7,江苏省苏州市吴中区太湖金山岛金庭镇消夏湾
花谷奇缘旅游度假区,江苏·常州·金坛区,农家度假,,热度 0.0,常州市金坛区茅山旅游度假区林场路1号
伏尔加庄园,黑龙江·哈尔滨·香坊区,农家度假,4A景区,热度 0.0,黑龙江省哈尔滨市香坊区哈成路16公里处
中山泉林欢乐世界,广东·中山·中山市区,农家度假,,热度 0.0,广东省中山市三乡镇南龙村
珠海长隆国际海洋度假区,广东·珠海·金湾区,农家度假,,热度 0.0,广东省珠海市横琴岛南端环岛路长隆大道东侧
大梁酒庄田园乐翻天乐园,四川·成都·邛崃市,农家度假,,热度 0.0,四川省成都市邛崃市临邛镇文笔山村十三组
田野绿世界,广东·清远·佛冈县,农家度假,,热度 0.0,广东省清远市佛冈县石角镇龙南小潭
北戴河集发梦想王国,河北·秦皇岛·北戴河区,农家度假,4A景区,热度 0.72,河北省秦皇岛市北戴河海北路中段
云和湖仙宫,浙江·丽水·云和县,农家度假,4A景区,热度 0.0,浙江省丽水市云和县紧水滩镇
格林东庄,广东·广州·番禺区,农家度假,,热度 0.0,广东省广州市番禺区新造镇27B县道格林东庄西门
张裕爱斐堡,北京·北京·密云县,农家度假,4A景区,热度 0.0,北京市密云县巨各庄东白岩（近蔡家洼）
康百万庄园,河南·郑州·巩义市,农家度假,4A景区,热度 0.72,河南省巩义市康店镇庄园路59号
大连铭湖国际观光牧场,辽宁·大连·大连铭湖旅游渡假区,农家度假,4A景区,热度 0.0,辽宁省瓦房店市炮台镇沈大高速炮台出口
潘安水镇,江苏·徐州·贾汪区,农家度假,,热度 0.0,江苏省徐州市贾汪区潘安湖湿地风景区北侧潘安水镇
山里江南旅游休闲度假区,贵州·安顺·西秀区,农家度假,,热度 0.0,安顺市西秀区旧州镇东环路
张裕卡斯特酒庄,山东·烟台,农家度假,,热度 0.0,山东省烟台市经济技术开发区北于家
金子山原生态旅游风景区,广东·清远·连山县,农家度假,4A景区,热度 0.0,广东省清远市连山县国营连山林场巾子村
洋沙湖国际旅游度假区,湖南·岳阳·湘阴县,农家度假,,热度 0.0,湖南岳阳市湘阴县袁家铺镇吴家渡口
川山群岛旅游度假区,广东·江门·台山市,农家度假,4A景区,热度 0.0,广东省江门台山市上川岛业东中部
武汉花博汇,湖北·武汉·汉阳区,农家度假,,热度 0.0,武汉市蔡甸区大集街道知音湖大道天星村1号
滕头村,浙江·宁波·奉化市,农家度假,5A景区,热度 0.72,浙江省宁波市奉化市滕头村
国宝云龙谷,福建·泉州·德化县,农家度假,,热度 0.0,福建省泉州市德化县国宝乡
新疆古生态园（汗血马基地）,新疆·乌鲁木齐·新市区,农家度假,,热度 0.0,新疆省乌鲁木齐市高新区昆明路158号野马国际大厦副楼4L新疆古生态园
阜阳生态园,安徽·阜阳·颍泉区,农家度假,4A景区,热度 0.72,安徽省阜阳市欧阳修路666号
百年好合爱情谷,四川·绵阳·江油市,农家度假,,热度 0.0,四川省绵阳江油市大康镇
南天热带植物园,海南·三亚,农家度假,3A景区,热度 0.7,海南省三亚市天涯镇225国道南天生态大观园
观澜山水田园旅游文化园,广东·深圳·龙华新区,农家度假,4A景区,热度 0.7,广东省深圳市龙华区观澜镇君子布村环观南路
虔心小镇,江西·赣州·龙南县,农家度假,4A景区,热度 0.0,江西省赣州市龙南县临塘乡东坑村
都市菜园,上海·上海·奉贤区,农家度假,4A景区,热度 0.0,上海市奉贤区海湾镇海兴路888弄1号
水云涧温泉旅游度假区,辽宁·大连·金州区,农家度假,,热度 0.0,辽宁省大连市金州区三十里堡街道三道湾街区水云涧温泉旅游度假区
才村,云南·大理·大理古城,农家度假,,热度 0.0,云南省大理市大理古城东部
梦幻香山芳香文化园,海南·屯昌,农家度假,,热度 0.0,海南省屯昌县屯城镇加利坡村附近（中线高速公路旁）
张裕瑞那城堡酒庄,陕西·咸阳·渭城区,农家度假,,热度 0.0,陕西省咸阳市渭城区渭城镇
青岛西海岸生态观光园,山东·青岛·黄岛区,农家度假,,热度 0.0,山东省青岛市黄岛区胶州湾东路3666号
香草世界,广东·广州·花都区,农家度假,,热度 0.7,广东省广州市花都区花山镇铁山村香草世界
壕熊庄园,江苏·常州·新北区,农家度假,,热度 0.0,常州市新北区罗溪镇通达路99号
辽中花溪地温泉生态乐园,辽宁·沈阳,农家度假,,热度 0.0,辽宁省沈阳市辽中县杨士岗镇佑户坨村
湖州太湖旅游度假区,浙江·湖州·吴兴区,农家度假,4A景区,热度 0.0,浙江省湖州市吴兴区太湖路
天宫庄园,浙江·宁波·鄞州区,农家度假,4A景区,热度 0.72,浙江省宁波市鄞州区下应镇湾底村
金沙湾海滨度假区,广东·深圳·龙岗区,农家度假,3A景区,热度 0.7,广东省深圳市龙岗区大鹏镇大鹏市场街
常州太湖修心谷,江苏·常州·武进区,农家度假,,热度 0.0,江苏省常州市武进区雪堰镇环太湖路208号
红石寨,山东·临沂·沂南县,农家度假,,热度 0.0,山东省临沂市沂南县铜井镇红石寨旅游度假区
五彩田园农业嘉年华,广西·玉林·玉州区,农家度假,,热度 0.0,广西玉林玉州区鹿塘村
达人谷度假乐园（原绿野山居）,浙江·宁波·江北区,农家度假,4A景区,热度 0.0,浙江省宁波市江北区五星村
三国村,江苏·南京·江宁区,农家度假,,热度 0.0,江苏省南京市江宁区淳化街道淀淮社区马场山三国村
上海寻梦源香草农场,上海·上海·青浦区,农家度假,,热度 0.7,上海市青浦区朱家角镇沈太路2365号（近太阳岛温泉度假村）
葡萄沟,新疆·吐鲁番·吐鲁番市,农家度假,5A景区,热度 1.0,新疆省吐鲁番市东北10公里的火焰山中
农夫庄园,广东·清远·清城区,农家度假,,热度 0.0,广东省清远市清城区377省道北
大熊猫生态乐园,安徽·黄山·休宁县,农家度假,,热度 0.0,安徽省黄山市休宁县齐云西大道161号
御水古温泉,广东·茂名·电白县,农家度假,4A景区,热度 0.0,广东省茂名市电白县麻岗镇热水村
汕头丹樱生态园,广东·汕头·濠江区,农家度假,,热度 0.0,广东省汕头市濠江区河浦大道中段南侧
关山古镇,湖南·长沙·宁乡县,农家度假,4A景区,热度 0.0,长沙宁乡县金洲镇关山旅游社区
伏热花海庄园,江苏·南京·江浦县,农家度假,,热度 0.0,江苏省南京市句容市白兔镇中心村
永记生态园,广东·惠州·惠东县,农家度假,4A景区,热度 0.74,广东省惠州市惠东县大岭镇桥新区大岭镇桥新区(近永记大道)
青瓦房古村落,广西·南宁·西乡塘区,农家度假,,热度 0.0,广西壮族自治区南宁市西乡塘区石埠街道下灵村6队
三江县仙人山景区,广西·柳州,农家度假,,热度 0.0,广西柳州市三江侗族自治县八江乡布央村仙人山茶场
青龙湖公园,北京·北京·丰台区,农家度假,3A景区,热度 0.7,北京市丰台区王佐镇青龙湖公园
青山园景区,北京·北京·延庆县,农家度假,,热度 0.0,北京市延庆区刘斌堡乡青山园
爱莉丝庄园,重庆·重庆·黔江区,农家度假,,热度 0.0,重庆市黔江区冯家街道办事处中坝居委
太阳岛国际旅游度假区,上海·上海·青浦区,农家度假,4A景区,热度 0.7,上海市青浦区朱家角镇沈巷沈太路2588号
百山祖,浙江·丽水·庆元县,农家度假,,热度 0.76,浙江省丽水市庆元县百山祖乡车根村林学路66号
高淳国际慢城旅游度假区,江苏·南京·高淳县,农家度假,,热度 0.0,江苏省南京市高淳县桠溪镇
恩龙世界木屋村,安徽·宣城·宁国市,农家度假,4A景区,热度 0.76,安徽省宣城宁国市宁港路8公里处
扬州瘦西湖温泉,江苏·扬州·邗江区,农家度假,,热度 0.72,江苏省扬州市邗江区长春路38号
宝墩湖山温泉度假村,广东·清远·英德市,农家度假,,热度 0.0,广东省清远市英德市望埠镇新发奇石场东南侧
大樟沙滩度假村,广东·清远·英德市,农家度假,,热度 0.0,广东省清远英德市连江口镇大樟沙滩度假村
双龙潭生态运动景区,福建·厦门·集美区,农家度假,,热度 0.0,福建省厦门市集美区灌口镇坑内村
广州二龙山花园,广东·广州·增城,农家度假,,热度 0.0,广东省广州市增城市小楼镇二龙邓山
西安东大秦龙温泉,陕西·西安·长安区,农家度假,,热度 0.0,陕西省西安市长安区东大街办地热开发区东大村88号（三资学院隔壁）
客都温泉,福建·龙岩·永定县,农家度假,,热度 0.0,福建省龙岩市永定县下洋镇203省道旁
翼云石头部落旅游度假区,山东·枣庄·山亭区,农家度假,4A景区,热度 0.0,山东省枣庄市山亭区兴隆庄村
天津蓟县紫云水岸香草园,天津·天津·蓟县,农家度假,,热度 0.0,天津蓟县穿芳裕镇大巨各庄村
重庆彩色森林景区,重庆·重庆·巴南区,农家度假,,热度 0.0,重庆市巴南区丰盛镇油房村
京明温泉度假村,广东·揭阳·揭西县,农家度假,4A景区,热度 0.0,广东省揭阳市揭西县京溪园镇
北京河北村民俗文化体验园,北京·北京·顺义区,农家度假,,热度 0.0,北京市顺义区南彩镇河北村
南京雨发生态旅游区,江苏·南京·浦口区,农家度假,,热度 0.0,江苏省南京市浦口汤泉街道雨发生态园
小白鹭海滨度假村,福建·宁德·福鼎市,农家度假,,热度 0.0,福建省宁德福鼎市小白鹭海湾
宋城文化旅游度假区,海南·三亚·河东区,农家度假,,热度 0.0,三亚市吉阳区迎宾路333号宋城文化旅游度假区
威海多福山国际养生旅游度假区,山东·威海·乳山市银滩旅游度假区,农家度假,3A景区,热度 0.0,山东省威海市乳山市银滩旅游度假区小陶村北
兰陵国家农业公园,山东·临沂,农家度假,4A景区,热度 0.0,山东省临沂市兰陵县顺河路中段
天堂湖温泉度假山庄,广西·玉林·容县,农家度假,,热度 0.0,广西省玉林市容县黎村镇温泉村
阿尔卡迪亚温泉,河北·秦皇岛·黄金海岸,农家度假,,热度 0.0,河北省秦皇岛市昌黎县黄金海岸海滨高尔夫球会阿尔卡迪亚滨海度假酒店荣合心苑温泉
凤凰沟,江西·南昌·南昌县,农家度假,4A景区,热度 0.0,江西省南昌市南昌县黄马乡凤凰沟（自驾320国道修路，到银三角上桥，然后从昌南上高速，往上海方向走一段高速，从黄马下）
湘湖旅游度假区,浙江·杭州·萧山区,农家度假,4A景区,热度 0.7,浙江杭州萧山区风情大道2758号
张裕国际葡萄酒城旅游区,山东·烟台·福山区,农家度假,4A景区,热度 0.0,山东省烟台市福山区古镇办事处
中国天眼驿站,贵州·黔南,农家度假,,热度 0.0,贵州省黔南布依族苗族自治州罗甸县边阳镇中国天眼驿站
苏家围,广东·河源·东源县,农家度假,,热度 0.78,广东省河源市东源县义合镇苏家围客乡村旅游区
安波鸿缘温泉山庄,辽宁·大连·普兰店市,农家度假,,热度 0.0,辽宁省大连普兰店市安波温泉旅游度假区
河源天上人间温泉度假村,广东·河源·和平县,农家度假,,热度 0.0,广东省河源市和平县大坝镇汤湖村
袁家村·关中大观园,陕西·咸阳·礼泉县,农家度假,,热度 0.0,陕西省咸阳礼泉县袁家村
西樵渔耕粤韵旅游园,广东·佛山·西樵山,农家度假,,热度 0.0,广东省佛山市南海区西樵镇环山大道西樵山南门（国艺影视城对面）
东方普罗旺斯薰衣草庄园,北京·北京·怀柔区,农家度假,,热度 0.0,北京市怀柔区青春路北环岛向西500米（慕田峪方向）
泰康山生态旅游度假区,广东·佛山·高明区,农家度假,,热度 0.0,广东省佛山市高明区
第五季龙水凤港生态农场,北京·北京·通州区,农家度假,,热度 0.0,北京市通州区于家务京津高速张采路出口
美心红酒小镇,重庆·重庆·涪陵区,农家度假,,热度 0.0,重庆市涪陵区蔺市镇美心红酒小镇
紫图生态庄园,河北·廊坊·大厂县,农家度假,,热度 0.0,廊坊市大厂回族自治县陈府乡东杨辛庄村西侧
丽田园休闲农庄,福建·厦门·同安区,农家度假,,热度 0.0,福建省厦门市同安区莲花镇云洋村溪墘自然村
古孝感乡都生态旅游度假村,湖北·黄冈·麻城市,农家度假,,热度 0.0,湖北省黄冈市麻城市003乡道沈家庄
伟丰生态农场,广东·中山,农家度假,,热度 0.0,广东省中山市民众镇新伦村南崛尾围（即新伦加油站旁农路直入800米）
上海迪士尼乐园,上海·上海·浦东新区,游乐场,,热度 0.0,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园
七彩云南欢乐世界,云南·昆明·晋宁县,游乐场,,热度 0.0,云南省昆明市晋宁区晋城镇
大连圣亚海洋世界,辽宁·大连·沙河口区,游乐场,4A景区,热度 0.82,辽宁省大连市沙河口区中山路608-6-8号（星海广场西500米，星海公园内）
长隆欢乐世界,广东·广州·广州长隆旅游度假区,游乐场,5A景区,热度 0.0,广东省广州市番禺区长隆旅游度假区内
中华恐龙园,江苏·常州·新北区,游乐场,5A景区,热度 0.74,常州市新北区环球恐龙城河海东路60号
长鹿旅游休博园,广东·佛山·顺德区,游乐场,5A景区,热度 0.72,广东省佛山市顺德区伦教三洲建设东路8号
上海欢乐谷,上海·上海·松江区,游乐场,4A景区,热度 0.72,上海市松江区佘山镇林湖路888号
隐贤山庄,广东·东莞·东莞市,游乐场,4A景区,热度 0.7,广东省东莞市常平镇隐贤山庄大道8号
北京欢乐谷,北京·北京·朝阳区,游乐场,4A景区,热度 0.72,北京市朝阳区东四环小武基北路
宋城千古情,浙江·杭州·西湖区,游乐场,,热度 0.0,浙江省杭州市西湖区之江路148号
广州长隆旅游度假区,广东·广州·番禺区,游乐场,5A景区,热度 0.7,广东省广州市番禺区番禺大道
深圳欢乐谷,广东·深圳·南山区,游乐场,5A景区,热度 0.8,广东省深圳市南山区华侨城侨城街1号
世界之窗,广东·深圳·华侨城,游乐场,5A景区,热度 0.0,广东省深圳市南山区深南大道9037号
东部华侨城大侠谷,广东·深圳·东部华侨城,游乐场,,热度 0.0,广东省深圳市盐田区大梅沙东部华侨城
杭州Hello Kitty乐园,浙江·湖州·安吉县,游乐场,,热度 0.0,浙江省湖州市安吉县天使大道1号
龙谷湾恐龙公园,广西·崇左·扶绥县,游乐场,,热度 0.0,广西省崇左市扶绥县岜盆乡祥宁路1号
杭州野生动物世界,浙江·杭州·富阳市,游乐场,4A景区,热度 0.7,浙江省杭州富阳市杭富路九龙大道1号
罗源湾海洋世界,福建·福州·罗源县,游乐场,,热度 0.0,福建省福州市罗源县罗源湾开发区江滨南路1号
杭州动物园,浙江·杭州·西湖区,游乐场,5A景区,热度 0.7,浙江省杭州市西湖区虎跑路40号
海昌发现王国,辽宁·大连·金石滩旅游度假区,游乐场,,热度 0.0,辽宁省大连市金州区金石路36号金石滩国家旅游度假区
东部华侨城,广东·深圳·盐田区,游乐场,4A景区,热度 0.76,广东省深圳市盐田区艺海东路东部华侨城
东莞龙凤山庄影视渡假村,广东·东莞·东莞市,游乐场,4A景区,热度 0.0,广东省东莞市凤岗镇官井头大龙管理区龙凤山庄路
南宁方特东盟神画,广西·南宁·青秀区,游乐场,,热度 0.0,广西省南宁市青秀区青环路66号
银基冰雪世界,河南·郑州·新密市,游乐场,,热度 0.0,河南省郑州市新密市刘寨镇银基国际旅游度假区
成都欢乐谷,四川·成都·金牛区,游乐场,4A景区,热度 0.74,四川省成都市金牛区西华大道16号（近北三环交大立交）
芜湖方特梦幻王国,安徽·芜湖·鸠江区,游乐场,5A景区,热度 0.0,安徽省芜湖市鸠江区赤铸山东路华强文化科技产业园
泉城欧乐堡梦幻世界,山东·德州·齐河县,游乐场,4A景区,热度 0.0,山东省德州市齐河县黄河国际生态城旅游路07号
重庆欢乐谷,重庆·重庆·渝北区,游乐场,4A景区,热度 0.0,重庆市渝北区金渝大道29号重庆欢乐谷
厦门方特梦幻王国,福建·厦门·厦门方特旅游区,游乐场,4A景区,热度 0.0,福建省厦门市同安区石浔南路1111号
象山影视城,浙江·宁波·象山县,游乐场,4A景区,热度 0.7,浙江省宁波市象山县新桥镇大塘港生态旅游区
长沙生态动物园,湖南·长沙·长沙县,游乐场,4A景区,热度 0.0,湖南省长沙市长沙县暮云镇西湖村道芙蓉南路
温州动物园,浙江·温州·鹿城区,游乐场,3A景区,热度 0.72,浙江省温州市鹿城区雪山路367号景山公园
宁波方特东方神画,浙江·宁波·慈溪市,游乐场,4A景区,热度 0.0,浙江省宁波市杭州湾新区天宝路188号
苏州乐园森林世界,江苏·苏州·虎丘区,游乐场,,热度 0.0,江苏省苏州市高新区象山路99号
重庆汉海海洋公园,重庆·重庆·巴南区,游乐场,,热度 0.0,重庆市巴南区嘉龙路133号
天津欢乐谷,天津·天津·东丽区,游乐场,4A景区,热度 0.0,天津市东丽区东丽湖旅游度假区东丽之光大道
无锡融创乐园,江苏·无锡·滨湖区,游乐场,,热度 0.0,江苏省无锡市滨湖区缘溪道无锡融创乐园
杭州乐园,浙江·杭州·萧山区,游乐场,4A景区,热度 0.72,浙江省杭州市萧山区风情大道2555号
国色天乡·陆地乐园,四川·成都·国色天乡,游乐场,,热度 0.0,四川省成都市温江区万春镇天香路88号国色天乡乐园
美的鹭湖探索王国,广东·佛山·美的鹭湖爱丽丝庄园,游乐场,,热度 0.0,广东省佛山市高明区高明大道218号，美的鹭湖森林度假区内
福州欧乐堡海洋世界,福建·福州·永泰县,游乐场,,热度 0.0,福建省福州市永泰县葛岭镇旅游路7号
南宫五洲植物乐园,北京·北京·丰台区,游乐场,,热度 0.0,北京市丰台区王佐镇南宫南路1号。
罗蒙环球乐园,浙江·宁波·鄞州区,游乐场,,热度 0.0,浙江省宁波市鄞州区鄞州大道中段1099号/萧皋东路820号罗蒙环球城
柳州卡乐星球,广西·柳州,游乐场,,热度 0.0,广西壮族自治区柳州市翠岭路9号
大同方特欢乐世界,山西·大同·南郊区,游乐场,4A景区,热度 0.0,山西省大同市平城区南环路南侧3666号
